id,interval,max_queue_num,max_queue_len,mean_queue_num,mean_queue_len
1_W_SL,0,64,195.61259724261083,30.54375,106.30851926009618
1_W_SL,1,55,160.38400824271753,27.14375,94.91581177085546
1_W_SL,2,58,163.8729413295559,32.79375,91.57390039658017
1_W_SL,3,61,169.73337267608855,30.65,89.68771497442671
1_W_SL,4,52,159.46107393342103,27.0625,95.76037440621226
1_N_SL,0,25,54.02579846702858,8.0375,22.43768829051661
1_N_SL,1,24,54.86708029410725,7.3875,17.391226078433014
1_N_SL,2,17,32.15215233852936,6.14375,12.912615332715998
1_N_SL,3,19,54.28654068919843,9.425,24.283655034981052
1_N_SL,4,20,42.25934807826553,10.06875,24.99021723836073
1_E_SL,0,65,137.77683295822965,30.36875,71.52154576319933
1_E_SL,1,62,122.55008853525942,25.99375,63.98377407193757
1_E_SL,2,55,127.13254540045988,21.45,49.82015668864418
1_E_SL,3,53,105.042818412303,20.66875,41.31043244441552
1_E_SL,4,61,172.43782067748333,24.48125,67.20631755706472
1_S_SL,0,18,52.36709367532258,6.09375,19.89192471512978
1_S_SL,1,15,50.07611806040878,6.6375,24.137610556529957
1_S_SL,2,11,40.021605415075555,5.825,23.9829123872449
1_S_SL,3,15,47.917099244424094,4.8625,17.498456373137163
1_S_SL,4,11,36.430790548655466,3.4375,12.229594842020916
2_W_SL,0,27,142.07061483642582,6.71875,30.63744932650593
2_W_SL,1,29,98.38042488218899,6.4875,21.193520533250915
2_W_SL,2,37,105.88658885807962,8.8375,27.477082903085808
2_W_SL,3,36,153.11972341929024,6.80625,23.126912524919717
2_W_SL,4,31,123.5104631195268,6.8625,21.376381995450902
2_E_SL,0,10,98.3882176098267,5.275,46.85076425133904
2_E_SL,1,15,111.53572432185135,7.01875,52.788515405426025
2_E_SL,2,8,93.0567675467187,4.41875,28.48127935114502
2_E_SL,3,17,103.80003901733345,9.56875,41.19555565667654
2_E_SL,4,14,78.00900915924727,8.10625,31.52126628461848
2_S_SL,0,11,57.15221255559577,4.225,20.646694165283677
2_S_SL,1,20,78.01728141892646,5.125,20.939269866860222
2_S_SL,2,15,58.62064568051071,6.08125,22.699923927267637
2_S_SL,3,12,65.95572454306,4.31875,18.876279473659775
2_S_SL,4,11,44.69237630737473,6.06875,21.94586845617892
3_W_SL,0,19,94.11026564620877,7.09375,32.063858174301345
3_W_SL,1,30,109.56993460522625,11.50625,45.2854236939362
3_W_SL,2,33,102.38710192769979,19.85,59.52312482850876
3_W_SL,3,33,115.87419816335326,17.875,66.21263597937813
3_W_SL,4,34,107.53991119579764,15.15,47.298590327040706
3_N_SL,0,9,29.301484604026356,5.40625,17.915309804013752
3_N_SL,1,9,26.69190513994842,5.9625,18.0135934837435
3_N_SL,2,12,28.321505962783675,7.375,20.345944101767728
3_N_SL,3,8,26.43879914065697,6.1625,19.151926827889277
3_N_SL,4,10,31.87538862508188,6.7875,19.898927367711984
3_E_SL,0,39,151.715471854389,20.15,48.64349979320927
3_E_SL,1,64,153.15594275117127,21.58125,73.96683117820199
3_E_SL,2,77,153.0679391642809,37.9375,124.40554420145516
3_E_SL,3,65,151.65919325909687,30.78125,99.3792734004488
3_E_SL,4,52,159.70667612845762,25.5125,73.99223435737647
3_S_SL,0,7,55.843861793396414,2.4625,12.43788519588908
3_S_SL,1,11,74.40124326918199,3.225,18.998563786132877
3_S_SL,2,14,90.28995569829458,6.6625,34.03632353584396
3_S_SL,3,17,66.65883287307088,8.5875,31.105831872222346
3_S_SL,4,12,87.17703481995699,8.3125,43.259831337827116
