Scenario,Scenario_Display,Algorithm,Run,Num_Pareto,Num_Objectives,n_min,K_eff,Num_Parameters_In_File,Is_Full_Dim_File
CitySim,Isolated urban junction,NSGA-Reduced,2,10,4,8,1,5,False
CitySim,Isolated urban junction,NSGA-Reduced,3,10,4,8,1,5,False
CitySim,Isolated urban junction,NSGA-Reduced,4,10,4,8,1,5,False
CitySim,Isolated urban junction,NSGA-Reduced,5,10,4,8,1,5,False
CitySim,Isolated urban junction,NSGA-Reduced,6,10,4,8,1,5,False
CitySim,Isolated urban junction,NSGA-Reduced,7,10,4,8,1,5,False
CitySim,Isolated urban junction,NSGA-Reduced,8,10,4,8,1,5,False
CitySim,Isolated urban junction,NSGA-Reduced,9,10,4,8,1,5,False
CitySim,Isolated urban junction,MOBO-Reduced,0,39,4,8,4,5,False
CitySim,Isolated urban junction,MOBO-Reduced,1,29,4,8,3,5,False
CitySim,Isolated urban junction,MOBO-Reduced,2,27,4,8,3,5,False
CitySim,Isolated urban junction,MOBO-Reduced,3,27,4,8,3,5,False
CitySim,Isolated urban junction,MOBO-Reduced,4,30,4,8,3,5,False
CitySim,Isolated urban junction,MOBO-Reduced,5,36,4,8,4,5,False
CitySim,Isolated urban junction,MOBO-Reduced,6,27,4,8,3,5,False
CitySim,Isolated urban junction,MOBO-Reduced,7,31,4,8,3,5,False
CitySim,Isolated urban junction,MOBO-Reduced,8,36,4,8,4,5,False
CitySim,Isolated urban junction,MOBO-Reduced,9,28,4,8,3,5,False
CitySim,Isolated urban junction,XLO-Reduced,0,42,4,8,5,5,False
CitySim,Isolated urban junction,XLO-Reduced,1,38,4,8,4,5,False
CitySim,Isolated urban junction,XLO-Reduced,2,31,4,8,3,5,False
CitySim,Isolated urban junction,XLO-Reduced,3,31,4,8,3,5,False
CitySim,Isolated urban junction,XLO-Reduced,4,41,4,8,5,5,False
CitySim,Isolated urban junction,XLO-Reduced,5,47,4,8,5,5,False
CitySim,Isolated urban junction,XLO-Reduced,6,38,4,8,4,5,False
CitySim,Isolated urban junction,XLO-Reduced,7,30,4,8,3,5,False
CitySim,Isolated urban junction,XLO-Reduced,8,38,4,8,4,5,False
CitySim,Isolated urban junction,XLO-Reduced,9,37,4,8,4,5,False
Reactor,Coiled-tube reactor,NSGA-Full,0,24,2,5,4,50,True
Reactor,Coiled-tube reactor,NSGA-Full,1,30,2,5,5,50,True
Reactor,Coiled-tube reactor,NSGA-Full,2,28,2,5,5,50,True
Reactor,Coiled-tube reactor,NSGA-Full,3,24,2,5,4,50,True
Reactor,Coiled-tube reactor,NSGA-Full,4,32,2,5,5,50,True
Reactor,Coiled-tube reactor,MOBO-Full,0,26,2,5,5,50,True
Reactor,Coiled-tube reactor,MOBO-Full,1,22,2,5,4,50,True
Reactor,Coiled-tube reactor,MOBO-Full,2,22,2,5,4,50,True
Reactor,Coiled-tube reactor,MOBO-Full,3,26,2,5,5,50,True
Reactor,Coiled-tube reactor,MOBO-Full,4,24,2,5,4,50,True
Reactor,Coiled-tube reactor,NSGA-Reduced,0,10,2,5,2,2,False
Reactor,Coiled-tube reactor,NSGA-Reduced,1,10,2,5,2,2,False
Reactor,Coiled-tube reactor,NSGA-Reduced,2,10,2,5,2,2,False
Reactor,Coiled-tube reactor,NSGA-Reduced,3,10,2,5,2,2,False
Reactor,Coiled-tube reactor,NSGA-Reduced,4,10,2,5,2,2,False
Reactor,Coiled-tube reactor,MOBO-Reduced,0,70,2,5,5,2,False
Reactor,Coiled-tube reactor,MOBO-Reduced,1,61,2,5,5,2,False
Reactor,Coiled-tube reactor,MOBO-Reduced,2,58,2,5,5,2,False
Reactor,Coiled-tube reactor,MOBO-Reduced,3,69,2,5,5,2,False
Reactor,Coiled-tube reactor,MOBO-Reduced,4,77,2,5,5,2,False
