Scenario,Scenario_Display,Algorithm,Run,Local_Parameter_Index,Global_Parameter_Index,Parameter_Type,cNDI,Within_Niche_Variance,Num_Pareto,K_eff
Malaria,Rural malaria transmission,NSGA-Full,2,2,2,Redundant,1.327031197205924,0.14675098319648236,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,3,3,Representative,0.6213052666589424,0.03216835286484496,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,4,4,Redundant,1.142044055934181,0.10868871880788289,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,5,5,Redundant,0.8043670383427014,0.053917194364350746,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,6,6,Redundant,0.996957295783371,0.08282698746797433,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,7,7,Redundant,0.6306005805836826,0.033138091019373137,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,8,8,Representative,0.7312085245984186,0.044555492203783,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,9,9,Redundant,1.0148549925134003,0.08582755465244782,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,10,10,Redundant,0.7567897413889109,0.04772755938929121,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,11,11,Representative,1.1563122229400944,0.11142149641005519,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,12,12,Redundant,1.160628701693863,0.1122549152662985,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,13,13,Redundant,0.6999060389641384,0.04082237194820583,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,14,14,Representative,0.8362222002297088,0.058272297346417944,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,15,15,Redundant,0.93772170354794,0.07327683277540423,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,16,16,Redundant,1.1896870135871638,0.11794626585816202,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,17,17,Redundant,0.8600291569037567,0.06163751256038221,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,18,18,Redundant,0.8903677333146728,0.06606289171065903,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,19,19,Representative,0.39720439177081523,0.013147610736835274,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,20,20,Redundant,0.6732701284589941,0.03777438882293254,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,21,21,Redundant,1.1953041193666278,0.11906266148123582,10,2
Malaria,Rural malaria transmission,NSGA-Full,2,22,22,Redundant,0.43180455746512586,0.015537931320637764,10,2
Malaria,Rural malaria transmission,NSGA-Full,3,0,0,Redundant,0.7224699889710734,0.0434969070803219,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,1,1,Redundant,0.6944525384337236,0.040188694011420195,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,2,2,Redundant,0.9952588180503446,0.08254500957558074,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,3,3,Representative,0.611652946482283,0.03117661057837154,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,4,4,Redundant,0.7661793025577409,0.0489192269723222,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,5,5,Redundant,1.0812615630296376,0.09742721397377459,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,6,6,Redundant,0.7399716574401356,0.045629837817891775,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,7,7,Redundant,0.9096706868079498,0.0689583965364706,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,8,8,Representative,0.7962149582412149,0.05282985497725496,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,9,9,Redundant,0.7499939250133796,0.046874240629747904,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,10,10,Redundant,0.8511357340819643,0.06036933648593702,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,11,11,Representative,0.7386585987007849,0.045468043786217265,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,12,12,Redundant,0.8222938865106264,0.05634726964939591,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,13,13,Redundant,0.9480718628685597,0.07490335476358843,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,14,14,Representative,0.8958527362934446,0.06687934376037101,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,15,15,Redundant,0.5992093131485271,0.029920983413660802,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,16,16,Redundant,0.8003536727286744,0.0533805001208565,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,17,17,Redundant,0.8328951281356692,0.05780952453934441,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,18,18,Redundant,0.673465024640878,0.0377962616178782,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,19,19,Representative,0.9997235134365187,0.08328725860982143,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,20,20,Redundant,0.6022100747657717,0.030221414512449692,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,21,21,Redundant,1.2696656063737701,0.13433756266737276,12,2
Malaria,Rural malaria transmission,NSGA-Full,3,22,22,Redundant,1.0167117747870924,0.0861419027492266,12,2
Malaria,Rural malaria transmission,NSGA-Full,4,0,0,Redundant,1.2594122352730566,0.1321765981962897,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,1,1,Redundant,0.7976937166458928,0.0530262721313615,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,2,2,Redundant,0.7522512826714521,0.047156832690070406,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,3,3,Representative,0.2220718125560201,0.004109657494326344,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,4,4,Redundant,1.059077257133562,0.09347038638146242,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,5,5,Redundant,1.2031782700570772,0.12063649579479509,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,6,6,Redundant,1.1145735956821006,0.10352285834931055,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,7,7,Redundant,0.643028496075929,0.03445713723047259,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,8,8,Representative,0.9714346878767246,0.07864044606751244,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,9,9,Redundant,1.0662446081347685,0.09473979703137216,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,10,10,Redundant,0.6771885016261635,0.03821535556122403,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,11,11,Representative,0.4905231833302891,0.020051082782040035,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,12,12,Redundant,0.8743691604649095,0.06371011906434255,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,13,13,Redundant,0.6418294433365929,0.03432875286114672,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,14,14,Representative,0.5892347065466711,0.028933128283261805,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,15,15,Redundant,0.6474519663341072,0.03493283739249182,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,16,16,Redundant,0.6747231275031865,0.037937608232306776,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,17,17,Redundant,0.5188052684228129,0.02242990887860558,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,18,18,Redundant,0.8818196201711626,0.06480048687656778,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,19,19,Representative,0.7226067249378849,0.04351337324378801,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,20,20,Redundant,1.1029563310746038,0.10137605568812925,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,21,21,Redundant,1.0571533164188642,0.09313109453461695,7,1
Malaria,Rural malaria transmission,NSGA-Full,4,22,22,Redundant,0.43566229329909967,0.015816802816885897,7,1
Malaria,Rural malaria transmission,NSGA-Full,5,0,0,Redundant,0.6677992464366362,0.03716298612844494,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,1,1,Redundant,0.8930263462048491,0.06645800458466526,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,2,2,Redundant,0.8985712972319831,0.06728586468409742,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,3,3,Representative,0.36302212117337374,0.010982088371767968,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,4,4,Redundant,1.0999348085429477,0.10082138192036756,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,5,5,Redundant,0.7333253723295611,0.04481384180852412,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,6,6,Redundant,0.7235932060678388,0.04363226065562782,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,7,7,Redundant,0.7300435188952353,0.04441362829007815,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,8,8,Representative,0.5092580711821714,0.021611981922015456,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,9,9,Redundant,0.8680517642383908,0.06279282211644856,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,10,10,Redundant,0.4031959111298483,0.013547245229319046,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,11,11,Representative,0.6180564739701209,0.03183281708469822,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,12,12,Redundant,1.024987206908457,0.08754989786049996,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,13,13,Redundant,0.6404174752662695,0.0341778785522019,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,14,14,Representative,0.7491660778378374,0.046770817681910715,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,15,15,Redundant,1.1186211809685898,0.10427611220929686,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,16,16,Redundant,0.711003280844211,0.04212713878093601,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,17,17,Redundant,0.3418673381755444,0.00973943974260267,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,18,18,Redundant,0.7158691652189216,0.04270572180926964,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,19,19,Representative,0.9813486757293992,0.08025376861298712,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,20,20,Redundant,0.4231123014816819,0.014918668305427138,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,21,21,Redundant,1.1086068626365768,0.10241743132374283,12,2
Malaria,Rural malaria transmission,NSGA-Full,5,22,22,Redundant,0.5075961905496196,0.021471157721707136,12,2
Malaria,Rural malaria transmission,NSGA-Full,6,0,0,Redundant,1.0882042478980642,0.09868237376194929,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,1,1,Redundant,0.9446188963030416,0.0743587382710647,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,2,2,Redundant,1.1854597196147447,0.11710956223575575,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,3,3,Representative,0.5849892719303075,0.028517704022795937,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,4,4,Redundant,0.9464225657792192,0.07464297275134338,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,5,5,Redundant,0.8944834013312174,0.06667504627142197,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,6,6,Redundant,0.9690981019626966,0.0782625942689751,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,7,7,Redundant,0.6091210802494246,0.030919040867018827,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,8,8,Representative,0.9281775760085713,0.07179280105042893,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,9,9,Redundant,1.1045498629039148,0.10166919997008807,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,10,10,Redundant,1.1113715818930836,0.10292889941996126,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,11,11,Representative,0.8855498864089674,0.06534988344324459,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,12,12,Redundant,0.9573100812135449,0.07637021596609032,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,13,13,Redundant,0.9886435285817478,0.08145133555054743,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,14,14,Representative,0.7613723418823859,0.04830732024862239,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,15,15,Redundant,0.5829485683816119,0.028319086114847573,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,16,16,Redundant,0.5829403516064782,0.02831828779425703,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,17,17,Redundant,0.9406386352305613,0.07373342017403443,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,18,18,Redundant,1.2191652531347008,0.12386365953758326,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,19,19,Representative,0.7244280130424926,0.043732995506724485,6,1
Malaria,Rural malaria transmission,NSGA-Full,6,20,20,Redundant,0.9810235373207727,0.08020059839811347,6,1
