1	1	0	899
1	2	0	99
1	3	0	410
1	4	0	417
1	5	0	257
1	6	0	427
1	7	0	352
1	8	0	274
1	9	0	459
1	10	0	446
1	11	0	698
1	12	0	262
1	1	3	55
1	2	3	23
1	3	3	97
1	4	3	176
1	5	3	137
1	6	3	294
1	7	3	285
1	8	3	251
1	9	3	417
1	10	3	410
1	11	3	662
1	12	3	252
1	1	5	424.17
1	2	5	171.076
1	3	5	787.68
1	4	5	1508.65
1	5	5	1193.56
1	6	5	2663.12
1	7	5	2685.04
1	8	5	2543.09
1	9	5	4205.07
1	10	5	4156.45
1	11	5	6807.1
1	12	5	2537.54
2	1	0	815
2	2	0	216
2	3	0	397
2	4	0	413
2	5	0	259
2	6	0	416
2	7	0	354
2	8	0	273
2	9	0	462
2	10	0	446
2	11	0	689
2	12	0	260
2	1	3	11
2	2	3	18
2	3	3	57
2	4	3	129
2	5	3	111
2	6	3	247
2	7	3	240
2	8	3	222
2	9	3	376
2	10	3	368
2	11	3	606
2	12	3	231
2	1	5	110.393
2	2	5	150.898
2	3	5	481.335
2	4	5	1082.72
2	5	5	939.971
2	6	5	2177.42
2	7	5	2226.67
2	8	5	2203.05
2	9	5	3703.78
2	10	5	3677.62
2	11	5	6070.77
2	12	5	2268.46
3	1	0	496
3	2	0	557
3	3	0	390
3	4	0	413
3	5	0	254
3	6	0	415
3	7	0	346
3	8	0	275
3	9	0	462
3	10	0	447
3	11	0	685
3	12	0	260
3	1	3	9
3	2	3	22
3	3	3	49
3	4	3	110
3	5	3	101
3	6	3	229
3	7	3	212
3	8	3	200
3	9	3	359
3	10	3	358
3	11	3	557
3	12	3	217
3	1	5	58.0414
3	2	5	178.319
3	3	5	379.321
3	4	5	923.336
3	5	5	836.247
3	6	5	1971.6
3	7	5	1902.66
3	8	5	1951.37
3	9	5	3481.4
3	10	5	3502.91
3	11	5	5564.24
3	12	5	2105.91
4	1	0	255
4	2	0	816
4	3	0	381
4	4	0	410
4	5	0	256
4	6	0	409
4	7	0	349
4	8	0	274
4	9	0	465
4	10	0	445
4	11	0	680
4	12	0	260
4	1	3	25
4	2	3	92
4	3	3	65
4	4	3	120
4	5	3	107
4	6	3	243
4	7	3	244
4	8	3	207
4	9	3	386
4	10	3	370
4	11	3	577
4	12	3	224
4	1	5	188.585
4	2	5	733.39
4	3	5	464.269
4	4	5	919.501
4	5	5	912.734
4	6	5	2190.72
4	7	5	2241.14
4	8	5	1981.53
4	9	5	3756.03
4	10	5	3590.84
4	11	5	5751
4	12	5	2258.16
5	1	0	463
5	2	0	556
5	3	0	393
5	4	0	443
5	5	0	240
5	6	0	413
5	7	0	366
5	8	0	273
5	9	0	462
5	10	0	450
5	11	0	675
5	12	0	266
5	1	3	63
5	2	3	110
5	3	3	122
5	4	3	187
5	5	3	144
5	6	3	299
5	7	3	301
5	8	3	247
5	9	3	436
5	10	3	420
5	11	3	640
5	12	3	252
5	1	5	470.229
5	2	5	865.018
5	3	5	967.292
5	4	5	1575.43
5	5	5	1239.04
5	6	5	2715.75
5	7	5	2932.71
5	8	5	2463.35
5	9	5	4449.74
5	10	5	4254.63
5	11	5	6712.66
5	12	5	2613.21
6	1	0	863
6	2	0	131
6	3	0	385
6	4	0	455
6	5	0	259
6	6	0	413
6	7	0	366
6	8	0	271
6	9	0	462
6	10	0	443
6	11	0	687
6	12	0	265
6	1	3	58
6	2	3	22
6	3	3	87
6	4	3	183
6	5	3	149
6	6	3	299
6	7	3	307
6	8	3	239
6	9	3	429
6	10	3	410
6	11	3	660
6	12	3	251
6	1	5	444.053
6	2	5	153.719
6	3	5	686.401
6	4	5	1554.62
6	5	5	1165.01
6	6	5	2761.5
6	7	5	2922.23
6	8	5	2442.55
6	9	5	4448.38
6	10	5	4183.2
6	11	5	6894.09
6	12	5	2593.7
7	1	0	895
7	2	0	142
7	3	0	379
7	4	0	429
7	5	0	269
7	6	0	403
7	7	0	363
7	8	0	271
7	9	0	456
7	10	0	441
7	11	0	688
7	12	0	264
7	1	3	11
7	2	3	15
7	3	3	60
7	4	3	132
7	5	3	127
7	6	3	256
7	7	3	273
7	8	3	225
7	9	3	401
7	10	3	391
7	11	3	616
7	12	3	236
7	1	5	100.496
7	2	5	129.198
7	3	5	461.159
7	4	5	1081.29
7	5	5	1001.7
7	6	5	2367.25
7	7	5	2559.94
7	8	5	2199.53
7	9	5	3956.52
7	10	5	3817.36
7	11	5	6268.67
7	12	5	2381.94
8	1	0	572
8	2	0	504
8	3	0	377
8	4	0	413
8	5	0	266
8	6	0	401
8	7	0	354
8	8	0	271
8	9	0	457
8	10	0	440
8	11	0	686
8	12	0	259
8	1	3	7
8	2	3	22
8	3	3	43
8	4	3	113
8	5	3	90
8	6	3	225
8	7	3	243
8	8	3	209
8	9	3	373
8	10	3	368
8	11	3	590
8	12	3	217
8	1	5	59.8341
8	2	5	187.453
8	3	5	302.793
8	4	5	891.947
8	5	5	705.334
8	6	5	2030.56
8	7	5	2211.88
8	8	5	2033.66
8	9	5	3619
8	10	5	3503.71
8	11	5	5883.33
8	12	5	2113.62
