id,interval,speed
NBT,0,13.651281061309428
NBT,1,13.731188432254978
NBT,2,16.974183738009867
NBT,3,17.180737346948174
NBL,0,7.951423977148992
NBL,1,7.499819316528334
NBL,2,6.885785783925669
NBL,3,6.967911569982493
NO,0,14.96981768078551
NO,1,14.74029198860637
NO,2,15.913775185977698
NO,3,16.381657449787685
SBT,0,9.934478157987233
SBT,1,9.012554194636381
SBT,2,9.643774996112409
SBT,3,9.337965455143769
SBL,0,6.85550884313386
SBL,1,9.434254825504109
SBL,2,9.974081259289292
SBL,3,7.48932919025547
SO,0,13.770444175343457
SO,1,13.672929406866556
SO,2,13.227751704612146
SO,3,13.743268933283892
